,name,disc,college
34,Fundamentals of Combustion,Aerospace Engineering,IIT Kanpur
35,Instability and Transition of Fluid Flows,Aerospace Engineering,IIT Kanpur
36,Introduction to Helicopter Aerodynamics and Dynamics,Aerospace Engineering,IIT Kanpur
37,Introduction to Propulsion,Aerospace Engineering,IIT Kanpur
38,Jet and Rocket Propulsion,Aerospace Engineering,IIT Kanpur
39,Hypersonic Aerodynamics,Aerospace Engineering,IIT Guwahati
40,Principles of Fluid Dynamics,Aerospace Engineering,IIT Guwahati
41,Rocket Propulsion,Aerospace Engineering,IIT Madras
42,Introduction to Aerodynamics,Aerospace Engineering,IIT Kharagpur
43,Satellite Attitude Dynamics and Control,Aerospace Engineering,IIT Kharagpur
44,Vibration and Structural Dynamics,Aerospace Engineering,IIT Kharagpur
45,Space Flight Mechanics,Aerospace Engineering,IIT Kharagpur
46,Aircraft Structures - I,Aerospace Engineering,IIT Kharagpur
47,Introduction to airplane performance,Aerospace Engineering,IIT Kanpur
48,Introduction to CFD,Aerospace Engineering,IIT Kharagpur
49,Aircraft Stability and Control,Aerospace Engineering,IIT Kanpur
50,Engineering Thermodynamics,Aerospace Engineering,IIT Kanpur
51,Aircraft Dynamic Stability & Design Stability Augmentation System,Aerospace Engineering,IIT Kanpur
52,Fundamentals of Theoretical and Experimental Aerodynamics,Aerospace Engineering,IIT Kharagpur
53,Introduction to Ancient Indian Technology,Aerospace Engineering,IIT Kanpur
54,Aerodynamic Design of Axial Flow Compressors & Fans,Aerospace Engineering,IIT Kharagpur
55,Introduction to Experiments in Flight,Aerospace Engineering,IIT Kanpur
56,Engineering Thermodynamics,Aerospace Engineering,IIT Kanpur
57,Aircraft Design,Aerospace Engineering,IIT Kanpur
58,Fundamentals Of Combustion - I,Aerospace Engineering,IIT Kanpur
59,Aircraft Maintenance,Aerospace Engineering,IIT Kanpur
60,Fundamentals of Combustion (Part 2),Aerospace Engineering,IIT Kanpur
61,Introduction to Aerospace Propulsion,Aerospace Engineering,IIT Bombay
62,Design of fixed wing Unmanned Aerial Vehicles,Aerospace Engineering,IIT Kanpur
63,Jet Aircraft Propulsion,Aerospace Engineering,IIT Bombay
64,Introduction to Finite Volume Methods I,Aerospace Engineering,IIT Kanpur
65,Advance Aircraft Maintenance,Aerospace Engineering,IIT Kanpur
66,Introduction to Finite Volume Methods II,Aerospace Engineering,IIT Kanpur
67,Introduction to Rocket Propulsion,Aerospace Engineering,IIT Kanpur
68,UAV Design - Part II,Aerospace Engineering,IIT Kanpur
69,Introduction to Airbreathing Propulsion,Aerospace Engineering,IIT Kanpur
70,Computational Science in Engineering,Aerospace Engineering,IIT Kanpur
71,Environmental Biotechnology,Biotechnology,IIT Kharagpur
72,Fundamentals of Protein Chemistry,Biotechnology,IIT Kharagpur
73,Gene Therapy,Biotechnology,IIT Guwahati
74,Introduction to Biomedical Imaging Systems,Biotechnology,IIT Madras
75,Bioanalytical Techniques and Bioinformatics,Biotechnology,IIT Guwahati
76,WildLife Conservation,Biotechnology,IIT Kanpur
77,Fundamentals of Biotechnology,Biotechnology,IIT Guwahati
78,Nanotechnology in Agriculture,Biotechnology,IIT Kanpur
79,Experimental Biotechnology,Biotechnology,IIT Guwahati
80,Wild Life Ecology,Biotechnology,IIT Kanpur
81,Biomathematics,Biotechnology,IIT Bombay
82,Proteomics: Principles and Techniques,Biotechnology,IIT Bombay
83,Introduction to Dynamical Models in Biology,Biotechnology,IIT Guwahati
84,Enzyme Science and Engineering,Biotechnology,IIT Delhi
85,Forests and their management,Biotechnology,IIT Kanpur
86,Conservation Economics,Biotechnology,IIT Kanpur
87,Conservation Geography,Biotechnology,IIT Kanpur
88,Genetic Engineering: Theory and Application,Biotechnology,IIT Guwahati
89,Experimental Biotechnology,Biotechnology,IIT Guwahati
90,Biointerface Engineering,Biotechnology,IIT Guwahati
91,Advanced Clinical Proteomics,Biotechnology,IIT Bombay
92,Basics of Biology,Biotechnology,IIT Guwahati
93,Data Analysis for Biologists,Biotechnology,IIT Guwahati
94,Genome Editing and Engineering,Biotechnology,IIT Guwahati
95,Proteins and Gel-Based Proteomics,Biotechnology,IIT Bombay
96,Mass spectrometry based proteomics,Biotechnology,IIT Bombay
97,Interactomics,Biotechnology,IIT Bombay
98,Introduction to proteomics,Biotechnology,IIT Bombay
99,Introduction to Biostatistics,Biotechnology,IIT Bombay
100,Introduction to mechanobiology,Biotechnology,IIT Bombay
101,Introductory Mathematical Methods for Biologists,Biotechnology,IIT Bombay
102,Bioengineering: An Interface with Biology and Medicine,Biotechnology,IIT Bombay
103,Applications of interactomics using Genomics and proteomics technologies,Biotechnology,IIT Bombay
104,Introduction to Proteogenomics,Biotechnology,IIT Bombay
105,Interactomics : Basics & Applications,Biotechnology,IIT Bombay
106,Maternal Infant Young Child Nutrition,Biotechnology,IIT Bombay
107,Analytical Technologies in Biotechnology,Biotechnology,IIT Roorkee
108,Principles Of Downstream Techniques In Bioprocess,Biotechnology,IIT Madras
109,Introduction to Computational Neuroscience,Biotechnology,IIT Madras
110,Learning about Learning: A Course on Neurobiology of Learning and Memory,Biotechnology,IISc Bangalore
111,Molecular Cell Biology,Biotechnology,IIT Madras
112,Thermodynamics,Biotechnology,IIT Madras
113,Drug Delivery: Principles and Engineering,Biotechnology,IISc Bangalore
114,Biomedical nanotechnology,Biotechnology,IIT Roorkee
115,Optical Spectroscopy and Microscopy : Fundamentals of optical measurements and instrumentation,Biotechnology,IISc Bangalore
116,Systems Biology,Biotechnology,IIT Madras
117,Tissue Engineering,Biotechnology,IIT Madras
118,"Cell Biology: Cellular organization, division and processes",Biotechnology,IISc Bangalore
119,Principles of Downstream techniques in Bioprocess,Biotechnology,IIT Madras
120,Biostatistics and design of experiments,Biotechnology,IIT Madras
121,Plant Developmental Biology,Biotechnology,IIT Roorkee
122,Bioreactors,Biotechnology,IIT Madras
123,Medical Biomaterials,Biotechnology,IIT Madras
124,Structural Biology,Biotechnology,IIT Roorkee
125,BioInformatics:Algorithms and Applications,Biotechnology,IIT Madras
126,Demystifying the Brain,Biotechnology,IIT Madras
127,Computational Systems Biology,Biotechnology,IIT Madras
128,Material and Energy Balances,Biotechnology,IIT Madras
129,Computer Aided Drug Design,Biotechnology,IIT Madras
130,Plant Cell Bioprocessing,Biotechnology,IIT Madras
131,Tissue engineering,Biotechnology,IIT Madras
132,Thermodynamics for Biological Systems : Classical and Statistical Aspect,Biotechnology,IIT Madras
133,Industrial Biotechnology,Biotechnology,IIT Kharagpur
134,Transport Phenomena in Biological Systems,Biotechnology,IIT Madras
135,Introduction to Developmental Biology,Biotechnology,IIT Madras
136,Cell Biology,Biotechnology,IIT Guwahati
137,Genetic Engineering & Applications,Biotechnology,IIT Guwahati
138,Bioreactor Design and Analysis,Biotechnology,IIT Madras
139,Biochemistry _ IITM,Biotechnology,IIT Madras
140,Microbiology,Biotechnology,IIT Guwahati
141,Plant Biotechnology,Biotechnology,IIT Guwahati
142,Aspects Of Biochemical Engineering,Biotechnology,IIT Kharagpur
143,Proteomics and Genomics,Biotechnology,IIT Guwahati
144,Animal Physiology,Biotechnology,IIT Kanpur
145,Bio electricity,Biotechnology,IIT Kanpur
146,Biomicrofluidics,Biotechnology,IIT Kharagpur
147,Cellular biophysics: a framework for quantitative biology,Biotechnology,IIT Madras
148,Medical Image Analysis,Biotechnology,IIT Madras
149,Organ Printing,Biotechnology,IIT Madras
150,"Introduction to Cell Biology	",Biotechnology,IIT Madras
151,Human Molecular Genetics,Biotechnology,IIT Kanpur
152,Functional Genomics,Biotechnology,IIT Kanpur
153,Bioenergy,Biotechnology,IIT Kanpur
154,Animal Physiology,Biotechnology,IIT Kanpur
155,Cell Culture Technologies,Biotechnology,IIT Kanpur
156,Immunology,Biotechnology,IIT Kharagpur
157,Forest Biometry,Biotechnology,IIT Kanpur
158,Introduction To Professional Scientific Communication,Biotechnology,IIT Kanpur
159,Cellular and Molecular Immunology,Biotechnology,IIT Guwahati
160,Bioelectrochemistry,Biotechnology,IIT Kanpur
161,Metabolic Engineering,Biotechnology,IIT Kharagpur
162,General Virology,Biotechnology,IIT Guwahati
163,Bioenergetics Of Life Processes,Biotechnology,IIT Kanpur
164,Environmental Chemistry and Microbiology,Biotechnology,IIT Kharagpur
165,Chemical Reaction Engineering,Chemical Engineering,IISc Bangalore
166,Fundamentals of Transport Processes,Chemical Engineering,IISc Bangalore
167,Fluid Mechanics and Its Applications,Chemical Engineering,IIT Delhi
168,Fundamentals of Transport Processes - II,Chemical Engineering,IISc Bangalore
169,Modern Instrumental Methods of Analysis,Chemical Engineering,IISc Bangalore
170,Chemical Technology - I,Chemical Engineering,IIT Roorkee
171,Chemical Technology - I,Chemical Engineering,IIT Roorkee
172,Environmental Engineering,Chemical Engineering,IIT Roorkee
173,Fertilizer Engineering,Chemical Engineering,IIT Roorkee
174,Food Engineering,Chemical Engineering,IIT Roorkee
175,Advanced Transport Phenomena,Chemical Engineering,IIT Madras
176,Process Integration,Chemical Engineering,IIT Roorkee
177,Chemical Engineering Thermodynamics,Chemical Engineering,IIT Madras
178,Process Integration,Chemical Engineering,IIT Roorkee
179,Safety Practices in Chemical and Nuclear Industries,Chemical Engineering,IIT Madras
180,Process Modelling and Simulation,Chemical Engineering,IIT Roorkee
181,Introduction to interfacial waves,Chemical Engineering,IIT Bombay
182,Computational Fluid Dynamics,Chemical Engineering,IIT Madras
183,Computational Techniques,Chemical Engineering,IIT Madras
184,Introduction to Microelectronic Fabrication Processes,Chemical Engineering,IIT Madras
185,Transport Processes I: Heat and Mass Transfer,Chemical Engineering,IISc Bangalore
186,Advanced Heat and Mass Transfer,Chemical Engineering,IIT Kharagpur
187,Atomic and Molecular Absorption Spectrometry for Pollution Monitoring,Chemical Engineering,IISc Bangalore
188,Colloids and Surfaces,Chemical Engineering,IIT Madras
189,"Polymers: concepts, properties, uses and sustainability",Chemical Engineering,IIT Madras
190,Biochemical Engineering,Chemical Engineering,IIT Kharagpur
191,System (Process) Identification,Chemical Engineering,IIT Madras
192,"Hydrogen Energy: Production, Storage, Transportation and Safety",Chemical Engineering,IIT Bombay
193,Trace and ultra-trace analysis of metals using atomic absorption spectrometry,Chemical Engineering,IISc Bangalore
194,Microscale Transport Processes,Chemical Engineering,IIT Kharagpur
195,Multiphase Flow,Chemical Engineering,IIT Kharagpur
196,"Mass, Momentum and Energy Balances in Engineering Analysis",Chemical Engineering,IIT Kharagpur
197,Multiphase Flow,Chemical Engineering,IIT Kharagpur
198,Novel Separation Processes,Chemical Engineering,IIT Kharagpur
199,Novel Separation Processes,Chemical Engineering,IIT Kharagpur
200,Process Control and Instrumentation,Chemical Engineering,IIT Kharagpur
201,Instability & Patterning of Thin Polymer Films,Chemical Engineering,IIT Kharagpur
202,Instability and Patterning of Thin Polymer Films,Chemical Engineering,IIT Kharagpur
203,Inductive Couple Plasma Atomic Emmission Spectrometry ( ICP-AES) for Pollution Monitering,Chemical Engineering,IISc Bangalore
204,Fluid Mechanics,Chemical Engineering,IIT Kanpur
205,Infrared spectroscopy for pollution monitoring,Chemical Engineering,IISc Bangalore
206,Fluid Mechanics,Chemical Engineering,IIT Kanpur
207,Introduction to Colloid and Interface Science and Engineering,Chemical Engineering,IIT Kanpur
208,Mass Transfer II,Chemical Engineering,IIT Kanpur
209,Mechanics of Soft Materials,Chemical Engineering,IIT Kanpur
210,Plantwide Control of Chemical Processes,Chemical Engineering,IIT Kanpur
211,Catalyst Science and Technology,Chemical Engineering,IIT Guwahati
212,Plantwide Control of Chemical Processes,Chemical Engineering,IIT Kanpur
213,Chemical Engineering Design - II,Chemical Engineering,IIT Guwahati
214,Mechanical Operations,Chemical Engineering,IIT Roorkee
215,Chemical Technology - II,Chemical Engineering,IIT Guwahati
216,Nuclear Reactor Technology,Chemical Engineering,IIT Madras
217,"Waste to Energy Conversion
",Chemical Engineering,IIT Roorkee
218,Heat Transfer,Chemical Engineering,IIT Guwahati
219,Particle Characterization (PG),Chemical Engineering,IIT Madras
220,Unit operations of particulate matter,Chemical Engineering,IIT Roorkee
221,Heat Transfer,Chemical Engineering,IIT Guwahati
222,Interfacial Engineering,Chemical Engineering,IIT Guwahati
223,Mass Transfer Operations I,Chemical Engineering,IIT Guwahati
224,Mass Transfer Operations I,Chemical Engineering,IIT Guwahati
225,Heterogeneous Catalysis and Catalytic Processes,Chemical Engineering,IIT Delhi
226,Molecular Simulations in Chemical Engineering,Chemical Engineering,IIT Guwahati
227,Heavy and Fine Chemicals (Chemical Process Technology),Chemical Engineering,IIT Madras
228,Process Control and Instrumentation,Chemical Engineering,IIT Guwahati
229,Chemical process industries,Chemical Engineering,IIT Madras
230,Fuel Cell Technology,Chemical Engineering,IIT Delhi
231,Process Design Decisions and Project Economics,Chemical Engineering,IIT Guwahati
232,Interfacial Engineering,Chemical Engineering,IIT Delhi
233,Statistics for  Experimentalists,Chemical Engineering,IIT Madras
234,Multiphase flows:Analytical solutions and Stability Analysis,Chemical Engineering,IIT Madras
235,Introduction to Time-Frequency Analysis and Wavelet Transforms,Chemical Engineering,IIT Madras
236,Electrochemical Technology in Pollution Control,Chemical Engineering,IISc Bangalore
237,Chemical Engineering Principles of CVD Processes,Chemical Engineering,IIT Madras
238,Introduction to Polymer Physics,Chemical Engineering,IIT Roorkee
239,Chemical Reaction Engineering 1 (Homogeneous Reactors),Chemical Engineering,IIT Madras
240,Chemical Reaction Engineering 2 (Heterogeneous Reactors),Chemical Engineering,IIT Madras
241,Petroleum Refinery Engineering,Chemical Engineering,IIT Delhi
242,MATLAB Programming for Numerical Computation(Course sponsored by Aricent),Chemical Engineering,IIT Madras
243,Computational Fluid Dynamics ,Chemical Engineering,IIT Madras
244,Equipment Design: Mechanical Aspects,Chemical Engineering,IIT Roorkee
245,Transport Phenomena (UG),Chemical Engineering,IIT Delhi
246,Introduction to Statistical Hypothesis Testing,Chemical Engineering,IIT Madras
247,Advanced Chemical Reaction Engineering (PG),Chemical Engineering,IIT Bombay
248,Advanced Process Control,Chemical Engineering,IIT Bombay
249,Applied Time-Series Analysis,Chemical Engineering,IIT Madras
250,Chemical Engineering Thermodynamics,Chemical Engineering,IIT Bombay
251,Chemical Reaction Engineering II,Chemical Engineering,IIT Bombay
252,Advanced Numerical Analysis ,Chemical Engineering,IIT Bombay
253,Advanced Mathematical Techniques in Chemical Engineering,Chemical Engineering,IIT Kharagpur
254,Rheology of Complex Materials,Chemical Engineering,IIT Madras
255,Chemical Process Safety,Chemical Engineering,IIT Roorkee
256,Technologies For Clean And Renewable Energy Production,Chemical Engineering,IIT Roorkee
257,Fuel and Combustion Technology,Chemical Engineering,IIT Kharagpur
258,Introduction to Process Modeling in Membrane Separation Process,Chemical Engineering,IIT Kharagpur
259,Soft Nano Technology,Chemical Engineering,IIT Kharagpur
260,Adiabatic Two Phase Flow and Flow Boiling in Microchannel,Chemical Engineering,IIT Kharagpur
261,"Process Control - Design, Analysis and Assessment",Chemical Engineering,IIT Madras
262,System Identification,Chemical Engineering,IIT Madras
263,Chemical Engineering Thermodynamics,Chemical Engineering,IIT Kharagpur
264,Transport phenomena,Chemical Engineering,IIT Kharagpur
265,Chemical Process Instrumentation,Chemical Engineering,IIT Kharagpur
266,Fluid and Particle Mechanics,Chemical Engineering,IIT Madras
267,Continuum Mechanics and Transport Phenomena,Chemical Engineering,IIT Madras
268,Environmental Quality Monitoring & Analysis,Chemical Engineering,IIT Madras
269,Optimization in Chemical Engineering,Chemical Engineering,IIT Kharagpur
270,Heat Transfer,Chemical Engineering,IIT Kharagpur
271,Thermodynamics Of Fluid Phase Equilibria,Chemical Engineering,IIT Kanpur
272,Polymer Reaction Engineering,Chemical Engineering,IIT Roorkee
273,Process Equipment Design,Chemical Engineering,IIT Roorkee
274,Flow through porous media,Chemical Engineering,IIT Kharagpur
275,Advanced Thermodynamics and Molecular Simulations,Chemical Engineering,IIT Roorkee
276,Fundamentals of Particle and Fluid Solid Processing,Chemical Engineering,IIT Kharagpur
277,Chemical Process Utilities,Chemical Engineering,IIT Roorkee
278,Physico-chemical processes for wastewater treatment,Chemical Engineering,IIT Roorkee
279,Plant Design and Economics,Chemical Engineering,IIT Kharagpur
280,Basic Environmental Engineering and Pollution Abatement,Chemical Engineering,IIT Roorkee
281,Chemical Engineering Thermodynamics,Chemical Engineering,IIT Kanpur
282,Fluidization Engineering,Chemical Engineering,IIT Guwahati
283,An Introduction to Cardiovascular Fluid Mechanics,Chemical Engineering,IIT Guwahati
284,Multiphase Microfluidics,Chemical Engineering,IIT Guwahati
285,Measurement Technique in Multiphase Flows,Chemical Engineering,IIT Guwahati
286,Multiphase Flows,Chemical Engineering,IIT Guwahati
287,Introduction to Polymer Physics,Chemical Engineering,IIT Guwahati
288,Natural Gas Engineering,Chemical Engineering,IIT Guwahati
289,Synthetic and Natural Supramolecular Architectures: Avenues to Molecular Technology via Engineering,Chemical Engineering,IIT Madras
290,Chemical Engineering Thermodynamics,Chemical Engineering,IIT Guwahati
291,Mass Transfer Operations -I,Chemical Engineering,IIT Guwahati
292,Transport Phenomena of Non-Newtonian Fluids,Chemical Engineering,IIT Guwahati
293,Fluid Flow Operations,Chemical Engineering,IIT Guwahati
294,Chemical Process Intensification,Chemical Engineering,IIT Guwahati
295,Chemical Reaction Engineering-I,Chemical Engineering,IIT Guwahati
296,Mass Transfer Operations II,Chemical Engineering,IIT Guwahati
297,Mechanical Unit Operations,Chemical Engineering,IIT Guwahati
298,Advanced Numerical Analysis,Chemical Engineering,IIT Bombay
299,Material & Energy Balance Computations,Chemical Engineering,IIT Kharagpur
300,Advanced Thermodynamics,Chemical Engineering,IIT Guwahati
301,Principles and Practices of Process Equipment and Plant Design,Chemical Engineering,IIT Kharagpur
302,Membrane Technology,Chemical Engineering,IIT Guwahati
303,Computer Aided Applied Single Objective Optimization,Chemical Engineering,IIT Guwahati
304,Basic Principles and Calculations in Chemical Engineering,Chemical Engineering,IIT Guwahati
305,Mathematical modelling and simulation of chemical engineering process,Chemical Engineering,IIT Kharagpur
306,Advanced process dynamics,Chemical Engineering,IIT Kharagpur
307,Introduction to evolutionary dynamics,Chemical Engineering,IIT Bombay
308,Heat transfer,Chemical Engineering,IIT Bombay
309,Chemical Reaction Engineering II,Chemical Engineering,IIT Bombay
310,Chemical Process Control,Chemical Engineering,IIT Bombay
311,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",Chemical Engineering,IIT Guwahati
312,Biomass Conversion and Biorefinery,Chemical Engineering,IIT Guwahati
313,Aspen Plus simulation software - a basic course for beginners,Chemical Engineering,IIT Guwahati
314,Physical and Electrochemical Characterizations in Chemical Engineering,Chemical Engineering,IIT Guwahati
315,Basics in Inorganic Chemistry,Chemistry and Biochemistry,IIT Bombay
316,Ultrafast laser spectroscopy,Chemistry and Biochemistry,IIT Bombay
317,Transition Metal Organometallics in Catalysis and Biology,Chemistry and Biochemistry,IIT Bombay
318,Quantum Chemistry of Atoms and Molecules,Chemistry and Biochemistry,IIT Bombay
319,Basic Statistical Mechanics,Chemistry and Biochemistry,IIT Bombay
320,Quantum Mechanics and Molecular Spectroscopy,Chemistry and Biochemistry,IIT Bombay
321,"Essentials of Oxidation, Reduction and C_C Bond Formation. Application in Organic Synthesis",Chemistry and Biochemistry,IISER Thiruvananthapuram
322,Chemical kinetics and transition state theory,Chemistry and Biochemistry,IIT Bombay
323,Concepts of chemistry for engineering,Chemistry and Biochemistry,IIT Bombay
324,Classics in Total Synthesis-I,Chemistry and Biochemistry,IIT Bombay
325,Circular dichroism (CD) and Mossbauer spectroscopy for chemists,Chemistry and Biochemistry,IIT Bombay
326,NMR spectroscopy for Structural Biology,Chemistry and Biochemistry,IIT Bombay
327,Advanced Transition Metal Chemistry,Chemistry and Biochemistry,IIT Bombay
328,Essentials in Immunolgy,Chemistry and Biochemistry,IISc Bangalore
329,Eukaryotic Gene Expression - basics and benefits,Chemistry and Biochemistry,IISc Bangalore
330,Introductory Quantum Chemistry,Chemistry and Biochemistry,IISc Bangalore
331,Introduction to Organometallic Chemistry,Chemistry and Biochemistry,IISc Bangalore
332,Principles and Applications of NMR Spectroscopy,Chemistry and Biochemistry,IISc Bangalore
333,Principles and Applications of Electron Paramagnetic Resonance Spectroscopy,Chemistry and Biochemistry,IIT Madras
334,Multidimensional NMR Spectroscopy for Structural Studies of Biomolecules,Chemistry and Biochemistry,IISc Bangalore
335,Symmetry and Structure in the Solid State,Chemistry and Biochemistry,IISc Bangalore
336,Bio-inorganic chemistry,Chemistry and Biochemistry,IIT Kharagpur
337,Biocatalysis in organic synthesis,Chemistry and Biochemistry,IIT Kharagpur
338,Co-ordination chemistry (chemistry of transition elements),Chemistry and Biochemistry,IIT Kharagpur
339,Heterocyclic Chemistry,Chemistry and Biochemistry,IIT Kharagpur
340,Chemistry of Materials,Chemistry and Biochemistry,IIT Kanpur
341,Organic photochemistry and pericyclic reactions,Chemistry and Biochemistry,IIT Kharagpur
342,Polymer Chemistry,Chemistry and Biochemistry,IIT Kharagpur
343,Protein chemistry,Chemistry and Biochemistry,IIT Kharagpur
344,Selected Topics in Co-ordination Chemistry,Chemistry and Biochemistry,IIT Madras
345,Rate processes,Chemistry and Biochemistry,IIT Kharagpur
346,Ultrafast Optics and Spectroscopy,Chemistry and Biochemistry,IISc Bangalore
347,Chemistry - I,Chemistry and Biochemistry,IIT Madras
348,Mathematics for Chemistry,Chemistry and Biochemistry,IIT Kanpur
349,Chemistry - II,Chemistry and Biochemistry,IIT Madras
350,Application of Spectroscopic Methods in Molecular Structure Determination,Chemistry and Biochemistry,IIT Madras
351,One and two dimensional NMR Spectroscopy for chemists,Chemistry and Biochemistry,IISc Bangalore
352,Pericyclic Reactions and Organic Photochemistry,Chemistry and Biochemistry,IIT Madras
353,Chemistry I:Introduction To Quantum Chemistry And Molecular Spectroscopy,Chemistry and Biochemistry,IIT Madras
354,Time dependent Quantum chemistry,Chemistry and Biochemistry,IISc Bangalore
355,Introduction to Chemical Thermodynamics and Kinetics,Chemistry and Biochemistry,IIT Madras
356,Bio-organic chemistry,Chemistry and Biochemistry,IIT Guwahati
357,Chemistry of Materials,Chemistry and Biochemistry,IIT Guwahati
358,Environmental chemistry,Chemistry and Biochemistry,IIT Guwahati
359,Chemical Crystallography,Chemistry and Biochemistry,IISER Mohali
360,Principles of Organic Synthesis,Chemistry and Biochemistry,IIT Guwahati
361,Advanced Chemical Thermodynamics and Kinetics,Chemistry and Biochemistry,IISER Mohali
362,Reagents and Organic reactions,Chemistry and Biochemistry,IIT Guwahati
363,Organic Chemistry and Pericyclic Reactions,Chemistry and Biochemistry,IIT Kharagpur
364,Chemistry: Atomic Structure and Chemical Bonding,Chemistry and Biochemistry,IIT Madras
365,Biochemistry,Chemistry and Biochemistry,IIT Kharagpur
366,Biophysical chemistry,Chemistry and Biochemistry,IIT Delhi
367,Electrochemical impedance Spectroscopy,Chemistry and Biochemistry,IIT Madras
368,Medicinal Chemistry,Chemistry and Biochemistry,IISER Pune
369,Chemical Principles II(Basic thermodynamics : Classical and Statistical Approaches),Chemistry and Biochemistry,IISER Pune
370,Analytical chemistry,Chemistry and Biochemistry,IIT Kharagpur
371,Organic Chemistry Lab Certification,Chemistry and Biochemistry,IISER Pune
372,Co-ordination chemistry (chemistry of transition elements),Chemistry and Biochemistry,IIT Kharagpur
373,Stereochemistry,Chemistry and Biochemistry,IIT Kharagpur
374,A Study Guide In Organic Retrosynthesis: Problem Solving Approach,Chemistry and Biochemistry,IIT Kharagpur
375,Structure and Functions of Biomolecules,Chemistry and Biochemistry,IIT Delhi
376,Introduction To Molecular Thermodynamics,Chemistry and Biochemistry,IIT Kharagpur
377,Advance Analytical Course,Chemistry and Biochemistry,IIT Kanpur
378,Molecules in Motion,Chemistry and Biochemistry,IIT Kharagpur
379,Introductory Organic Chemistry I,Chemistry and Biochemistry,IIT Madras
380,Quantitative Methods in Chemistry,Chemistry and Biochemistry,IISER Bhopal
381,Computational Chemistry,Chemistry and Biochemistry,IIT Bombay
382,Fundamentals of Spectroscopy,Chemistry and Biochemistry,IISER Pune
383,Organic Reaction Mechanism,Chemistry and Biochemistry,IIT Bombay
384,Introduction to Organometallic Chemistry,Chemistry and Biochemistry,IIT Bombay
385,Experimental Biochemistry,Chemistry and Biochemistry,IIT Kharagpur
386,Industrial Inorganic Chemistry,Chemistry and Biochemistry,IIT Kharagpur
387,"Symmetry, Stereochemistry and Applications",Chemistry and Biochemistry,IISER Mohali
388,Chemical Applications of Symmetry and Group Theory,Chemistry and Biochemistry,IIT Kanpur
389,Reactive Intermediates Carbene and Nitrene,Chemistry and Biochemistry,IIT Kharagpur
390,Symmetry and Group Theory,Chemistry and Biochemistry,IISER Pune
391,Mathematics for Chemistry,Chemistry and Biochemistry,IIT Kanpur
392,Electrochemistry,Chemistry and Biochemistry,IIT Madras
393,Quantum Computing,Chemistry and Biochemistry,IIT Kanpur
394,Introductory Organic Chemistry II,Chemistry and Biochemistry,IISER Pune
395,Basics of Fluroscence Spectroscopy,Chemistry and Biochemistry,IIT Kanpur
396,Electrochemistry from Fundamentals to Applications,Chemistry and Biochemistry,IIT Madras
397,Laser: Fundamentals and Applications,Chemistry and Biochemistry,IIT Kanpur
398,Advanced Mathematical Methods for Chemistry,Chemistry and Biochemistry,IIT Kanpur
399,Catalytic Asymmetric Synthesis,Chemistry and Biochemistry,IIT Guwahati
400,Bio-Organic Chemistry of Natural Enediyne Anticancer Antibiotics,Chemistry and Biochemistry,IIT Guwahati
